C0	N	idle
4	1	53.03
8	2	52.20
12	3	51.42
16	4	50.62
20	5	49.91
24	6	49.16
28	7	48.49
32	8	47.83
36	9	47.18
40	10	46.58
44	11	46.09
48	12	45.59
52	13	45.08
56	14	44.55
60	15	44.07
64	16	43.54
68	17	43.11
72	18	42.59
76	19	42.16
80	20	41.73
84	21	41.32
88	22	40.93
92	23	40.50
96	24	40.10
100	25	39.70
104	26	39.34
108	27	38.99
112	28	38.69
116	29	38.36
120	30	38.02
124	31	37.73
128	32	37.42
132	33	37.10
136	34	36.77
140	35	36.50
144	36	36.20
148	37	35.93
152	38	35.64
156	39	35.36
160	40	35.12
164	41	34.90
168	42	34.64
172	43	34.37
176	44	34.10
180	45	33.86
184	46	33.62
188	47	33.36
192	48	33.11
196	49	32.87
200	50	32.62
