C0	N	idle
102	1	68.83
108	2	68.73
118	3	68.64
76	4	68.55
91	5	68.46
86	6	68.37
101	7	68.27
96	8	68.18
70	9	68.09
104	10	68.01
85	11	67.92
93	12	67.83
110	13	67.74
101	14	67.65
92	15	67.56
112	16	67.48
102	17	67.39
93	18	67.30
98	19	67.22
86	20	67.13
85	21	67.04
92	22	66.96
92	23	66.87
87	24	66.78
87	25	66.70
102	26	66.61
97	27	66.53
108	28	66.45
76	29	66.36
77	30	66.28
63	31	66.19
88	32	66.11
109	33	66.02
82	34	65.94
86	35	65.85
95	36	65.77
70	37	65.69
84	38	65.60
75	39	65.52
93	40	65.44
111	41	65.36
93	42	65.28
93	43	65.20
71	44	65.12
85	45	65.04
91	46	64.95
94	47	64.87
101	48	64.79
93	49	64.72
106	50	64.64
